"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\ClockSource.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\ConcurrentBag.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\ConcurrentBag.java","3","117","The method 'borrow(long, TimeUnit)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\DriverDataSource.java","3","43","The constructor 'DriverDataSource(String, String, Properties, String, String)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java","4","19","Unused import 'com.zaxxer.hikari.pool.*'","Code Style","UnnecessaryImport"
"2","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java","4","20","Unused import 'javassist.*'","Code Style","UnnecessaryImport"
"3","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java","3","113","The method 'generateProxyClass(Class<T>, String, String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"4","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java","3","196","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\JavassistProxyFactory.java","3","244","The method 'toJavaClass(String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java","3","32","Possible God Class (WMC=60, ATFD=30, TCC=0.000%)","Design","GodClass"
"2","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java","3","77","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","com.zaxxer.hikari.util","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\util\PropertyElf.java","3","129","The method 'setProperty(Object, String, Object, List<Method>)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"1","com.zaxxer.hikari.metrics.prometheus","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java","3","131","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"2","com.zaxxer.hikari.metrics.prometheus","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java","3","158","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"1","com.zaxxer.hikari.metrics.prometheus","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTrackerTest.java","3","60","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"1","com.zaxxer.hikari.metrics.prometheus","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\PrometheusMetricsTrackerTest.java","3","69","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"1","com.zaxxer.hikari.mocks","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubConnection.java","3","46","The class 'StubConnection' has a total cyclomatic complexity of 128 (highest 8).","Design","CyclomaticComplexity"
"2","com.zaxxer.hikari.mocks","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubConnection.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.zaxxer.hikari.mocks","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubConnection.java","3","86","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.zaxxer.hikari.mocks","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubPreparedStatement.java","3","47","The class 'StubPreparedStatement' has a total cyclomatic complexity of 102 (highest 3).","Design","CyclomaticComplexity"
"2","com.zaxxer.hikari.mocks","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubPreparedStatement.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zaxxer.hikari.mocks","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubResultSet.java","3","46","The class 'StubResultSet' has a total cyclomatic complexity of 192 (highest 2).","Design","CyclomaticComplexity"
"2","com.zaxxer.hikari.mocks","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubResultSet.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zaxxer.hikari.mocks","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\mocks\StubStatement.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\CodahaleMetricsTest.java","3","82","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"2","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\CodahaleMetricsTest.java","3","86","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"3","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\CodahaleMetricsTest.java","3","111","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"4","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\CodahaleMetricsTest.java","3","129","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\CodahaleMetricsTest.java","3","159","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\Dropwizard5MetricsTest.java","4","6","Unused import 'com.codahale.metrics.health.HealthCheckRegistry'","Code Style","UnnecessaryImport"
"2","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\Dropwizard5MetricsTest.java","3","54","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"3","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\Dropwizard5MetricsTest.java","3","65","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\Dropwizard5MetricsTest.java","3","91","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\JdbcDriverTest.java","3","63","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\RampUpDown.java","1","33","The class name 'RampUpDown' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\RequestBoundariesTest.java","3","29","Consider simply returning the value vs storing it in local variable 'pool'","Code Style","UnnecessaryLocalBeforeReturn"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\ShutdownTest.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\ShutdownTest.java","3","93","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnectionTimeoutRetry.java","3","107","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"2","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnectionTimeoutRetry.java","3","157","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"3","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnectionTimeoutRetry.java","3","207","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnections.java","3","45","Possible God Class (WMC=48, ATFD=262, TCC=0.000%)","Design","GodClass"
"2","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnections.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnections.java","3","723","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnections.java","3","744","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnections.java","3","794","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestConnections.java","3","814","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestHibernate.java","3","52","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","20","Unused import 'java.sql.SQLException'","Code Style","UnnecessaryImport"
"2","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","21","Unused import 'java.util.SortedMap'","Code Style","UnnecessaryImport"
"3","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","22","Unused import 'java.util.concurrent.TimeUnit'","Code Style","UnnecessaryImport"
"4","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","24","Unused import 'com.codahale.metrics.Histogram'","Code Style","UnnecessaryImport"
"5","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","25","Unused import 'com.codahale.metrics.Metric'","Code Style","UnnecessaryImport"
"6","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","26","Unused import 'com.codahale.metrics.MetricFilter'","Code Style","UnnecessaryImport"
"7","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","27","Unused import 'com.codahale.metrics.MetricRegistry'","Code Style","UnnecessaryImport"
"8","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","28","Unused import 'com.codahale.metrics.Timer'","Code Style","UnnecessaryImport"
"9","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","29","Unused import 'com.codahale.metrics.health.HealthCheck.Result'","Code Style","UnnecessaryImport"
"10","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","30","Unused import 'com.codahale.metrics.health.HealthCheckRegistry'","Code Style","UnnecessaryImport"
"11","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","31","Unused import 'com.zaxxer.hikari.HikariConfig'","Code Style","UnnecessaryImport"
"12","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","34","Unused import 'com.zaxxer.hikari.metrics.dropwizard.CodahaleMetricsTrackerFactory'","Code Style","UnnecessaryImport"
"13","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","35","Unused import 'com.zaxxer.hikari.util.UtilityElf'","Code Style","UnnecessaryImport"
