"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\RedissonRegionNativeFactory.java","4","21","Unused import 'org.redisson.Redisson'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.region","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\region\RedissonCollectionRegion.java","4","29","Unused import 'org.redisson.connection.ConnectionManager'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\strategy\NonStrictReadWriteCollectionRegionAccessStrategy.java","4","19","Unused import 'org.hibernate.cache.internal.DefaultCacheKeysFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\strategy\NonStrictReadWriteEntityRegionAccessStrategy.java","4","19","Unused import 'org.hibernate.cache.internal.DefaultCacheKeysFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\strategy\NonStrictReadWriteNaturalIdRegionAccessStrategy.java","4","19","Unused import 'org.hibernate.cache.internal.DefaultCacheKeysFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\strategy\ReadOnlyCollectionRegionAccessStrategy.java","4","19","Unused import 'org.hibernate.cache.internal.DefaultCacheKeysFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\strategy\ReadOnlyEntityRegionAccessStrategy.java","4","19","Unused import 'org.hibernate.cache.internal.DefaultCacheKeysFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\strategy\ReadOnlyNaturalIdRegionAccessStrategy.java","4","19","Unused import 'org.hibernate.cache.internal.DefaultCacheKeysFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\strategy\ReadWriteCollectionRegionAccessStrategy.java","4","18","Unused import 'org.hibernate.cache.internal.DefaultCacheKeysFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-5\src\main\java\org\redisson\hibernate\strategy\ReadWriteEntityRegionAccessStrategy.java","4","19","Unused import 'org.hibernate.cache.internal.DefaultCacheKeysFactory'","Code Style","UnnecessaryImport"
