"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header-radar\src\main\java\com\scwang\smart\refresh\header\BezierRadarHeader.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header-radar\src\main\java\com\scwang\smart\refresh\header\BezierRadarHeader.java","3","35","Too many fields","Design","TooManyFields"
"1","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header-two-level\src\main\java\com\scwang\smart\refresh\header\TwoLevelHeader.java","3","32","Possible God Class (WMC=89, ATFD=51, TCC=11.261%)","Design","GodClass"
"2","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header-two-level\src\main\java\com\scwang\smart\refresh\header\TwoLevelHeader.java","3","32","The class 'TwoLevelHeader' has a total cyclomatic complexity of 89 (highest 14).","Design","CyclomaticComplexity"
"3","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header-two-level\src\main\java\com\scwang\smart\refresh\header\TwoLevelHeader.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header-two-level\src\main\java\com\scwang\smart\refresh\header\TwoLevelHeader.java","3","169","The method 'onStateChanged(RefreshLayout, RefreshState, RefreshState)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"5","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header-two-level\src\main\java\com\scwang\smart\refresh\header\TwoLevelHeader.java","3","205","The method 'onMoving(boolean, float, int, int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\BezierCircleHeader.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\BezierCircleHeader.java","3","30","Too many fields","Design","TooManyFields"
"3","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\BezierCircleHeader.java","3","272","The method 'onAnimationUpdate(ValueAnimator)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\DropBoxHeader.java","4","30","Unnecessary import from the current package 'com.scwang.smart.refresh.header.R'","Code Style","UnnecessaryImport"
"2","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\DropBoxHeader.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\DropBoxHeader.java","3","37","Too many fields","Design","TooManyFields"
"4","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\DropBoxHeader.java","3","94","The constructor 'DropBoxHeader(Context, AttributeSet)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\FunGameBattleCityHeader.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\FunGameBattleCityHeader.java","3","353","The method 'drawEnemyTank(Canvas, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\FunGameHitBlockHeader.java","4","17","Unnecessary import from the current package 'com.scwang.smart.refresh.header.R'","Code Style","UnnecessaryImport"
"2","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\FunGameHitBlockHeader.java","3","228","The method 'drawBallPath(Canvas, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\PhoenixHeader.java","4","27","Unnecessary import from the current package 'com.scwang.smart.refresh.header.R'","Code Style","UnnecessaryImport"
"1","com.scwang.smart.refresh.header","..\data\repositories\scwang90_SmartRefreshLayout\refresh-header\src\main\java\com\scwang\smart\refresh\header\StoreHouseHeader.java","4","26","Unnecessary import from the current package 'com.scwang.smart.refresh.header.R'","Code Style","UnnecessaryImport"
